Testing adventurer 10000 times...
Failure number 1: Adventure card failed (number of players = 2, handpos = 11, original deck count = 7 error number 2)
Failure number 2: Adventure card failed (number of players = 2, handpos = 6, original deck count = 9 error number 2)
Failure number 3: Adventure card failed (number of players = 2, handpos = 5, original deck count = 7 error number 2)
Failure number 4: Adventure card failed (number of players = 3, handpos = 2, original deck count = 15 error number 2)
Failure number 5: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 6: Adventure card failed (number of players = 2, handpos = 2, original deck count = 10 error number 2)
Failure number 7: Adventure card failed (number of players = 2, handpos = 15, original deck count = 23 error number 2)
Failure number 8: Adventure card failed (number of players = 3, handpos = 2, original deck count = 10 error number 2)
Failure number 9: Adventure card failed (number of players = 3, handpos = 10, original deck count = 23 error number 2)
Failure number 10: Adventure card failed (number of players = 3, handpos = 0, original deck count = 4 error number 2)
Failure number 11: Adventure card failed (number of players = 2, handpos = 0, original deck count = 1 error number 3)
Failure number 12: Adventure card failed (number of players = 3, handpos = 5, original deck count = 24 error number 2)
Failure number 13: Adventure card failed (number of players = 3, handpos = 9, original deck count = 2 error number 2)
Failure number 14: Adventure card failed (number of players = 2, handpos = 4, original deck count = 1 error number 3)
Failure number 15: Adventure card failed (number of players = 2, handpos = 13, original deck count = 5 error number 2)
Failure number 16: Adventure card failed (number of players = 2, handpos = 1, original deck count = 7 error number 2)
Failure number 17: Adventure card failed (number of players = 2, handpos = 12, original deck count = 21 error number 2)
Failure number 18: Adventure card failed (number of players = 2, handpos = 4, original deck count = 10 error number 2)
Failure number 19: Adventure card failed (number of players = 3, handpos = 2, original deck count = 8 error number 2)
Failure number 20: Adventure card failed (number of players = 2, handpos = 6, original deck count = 4 error number 2)
Failure number 21: Adventure card failed (number of players = 3, handpos = 14, original deck count = 4 error number 2)
Failure number 22: Adventure card failed (number of players = 3, handpos = 3, original deck count = 17 error number 2)
Failure number 23: Adventure card failed (number of players = 2, handpos = 2, original deck count = 17 error number 2)
Failure number 24: Adventure card failed (number of players = 3, handpos = 23, original deck count = 3 error number 2)
Failure number 25: Adventure card failed (number of players = 3, handpos = 2, original deck count = 18 error number 2)
Failure number 26: Adventure card failed (number of players = 3, handpos = 1, original deck count = 5 error number 2)
Failure number 27: Adventure card failed (number of players = 3, handpos = 1, original deck count = 4 error number 2)
Failure number 28: Adventure card failed (number of players = 2, handpos = 6, original deck count = 8 error number 2)
Failure number 29: Adventure card failed (number of players = 2, handpos = 5, original deck count = 1 error number 2)
Failure number 30: Adventure card failed (number of players = 2, handpos = 0, original deck count = 2 error number 2)
Failure number 31: Adventure card failed (number of players = 2, handpos = 6, original deck count = 17 error number 2)
Failure number 32: Adventure card failed (number of players = 3, handpos = 2, original deck count = 1 error number 2)
Failure number 33: Adventure card failed (number of players = 2, handpos = 14, original deck count = 19 error number 3)
